,,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1)
2020-01-22,三门峡,150.0,158.0,11.0,1.5,42.0,47.0,78.0,954.0,4.1,0.5,5.6072,0.0,0.0,0.0,0.0
2020-01-23,三门峡,158.0,164.0,10.5,1.6,41.0,52.0,80.5,954.5,3.25,1.75,5.40865,0.0,0.0,0.0,0.0
2020-01-24,三门峡,186.66666666666666,185.33333333333334,12.0,1.8,35.333333333333336,65.33333333333333,80.66666666666667,956.6666666666666,2.966666666666667,2.0,4.9848,0.0,0.0,0.0,0.0
2020-01-25,三门峡,188.75,184.25,12.5,1.8,31.75,70.5,82.0,958.75,2.45,1.75,4.6629249999999995,0.0,0.0,0.0,0.0
2020-01-26,三门峡,175.6,169.2,11.4,1.7,28.0,74.6,83.4,959.2,2.4400000000000004,1.7,4.355499999999999,0.0043927079999999995,1.0,0.6931471805599453,0.004383088219183795
2020-01-27,三门峡,161.5,155.5,11.166666666666666,1.5999999999999999,26.5,76.5,83.0,959.0,2.4333333333333336,1.4166666666666667,4.046566666666666,0.008785415999999999,2.0,1.0986122886681098,0.008747048783739471
2020-01-28,三门峡,150.0,144.42857142857142,10.571428571428571,1.5428571428571427,25.714285714285715,78.57142857142857,81.85714285714286,958.4285714285714,2.4285714285714284,1.3571428571428572,3.8075999999999994,0.008785415999999999,2.0,1.0986122886681098,0.008747048783739471
2020-01-29,三门峡,138.85714285714286,132.42857142857142,10.142857142857142,1.4857142857142855,23.0,86.71428571428571,80.0,958.8571428571429,2.4285714285714284,1.5714285714285714,3.3410428571428565,0.013178124,3.0,1.3862943611198906,0.013092047913478459
2020-01-30,三门峡,125.42857142857143,119.14285714285714,10.142857142857142,1.3857142857142857,20.571428571428573,93.42857142857143,74.71428571428571,959.2857142857143,2.6714285714285717,1.5714285714285714,2.9395428571428566,0.017570831999999998,4.0,1.6094379124341003,0.01741824967090156
2020-01-31,三门峡,99.14285714285714,95.71428571428571,9.857142857142858,1.2142857142857142,20.571428571428573,93.0,70.0,958.2857142857143,2.6714285714285717,1.7142857142857142,2.6843857142857135,0.021963539999999997,5.0,1.791759469228055,0.021725815998368474
2020-02-01,三门峡,86.71428571428571,84.85714285714286,9.857142857142858,1.1428571428571428,20.0,96.85714285714286,64.28571428571429,956.7142857142857,2.885714285714286,2.357142857142857,2.4684571428571425,0.026356247999999995,6.0,1.9459101490553132,0.02601490675447345
2020-02-02,三门峡,82.0,82.14285714285714,10.142857142857142,1.1,20.142857142857142,98.0,61.42857142857143,956.0,3.1285714285714294,2.7857142857142856,2.3113714285714275,0.021963539999999997,5.0,1.791759469228055,0.021725815998368474
2020-02-03,三门峡,78.28571428571429,79.42857142857143,10.571428571428571,1.0714285714285714,19.428571428571427,101.42857142857143,54.857142857142854,956.4285714285714,2.914285714285715,3.142857142857143,2.254628571428571,0.017570831999999998,4.0,1.6094379124341003,0.01741824967090156
2020-02-04,三门峡,80.71428571428571,82.14285714285714,11.285714285714286,1.0571428571428572,18.857142857142858,104.14285714285714,53.285714285714285,956.2857142857143,3.5285714285714294,3.4285714285714284,2.205214285714285,0.017570831999999998,4.0,1.6094379124341003,0.01741824967090156
2020-02-05,三门峡,84.14285714285714,86.85714285714286,11.0,1.0714285714285714,17.571428571428573,100.28571428571429,52.0,956.2857142857143,4.200000000000001,3.857142857142857,2.1284714285714275,0.013178124,3.0,1.3862943611198906,0.013092047913478459
2020-02-06,三门峡,81.0,82.42857142857143,10.0,1.0285714285714285,15.857142857142858,93.71428571428571,58.285714285714285,956.5714285714286,4.571428571428572,3.2857142857142856,2.0157714285714277,0.008785416,2.0,1.0986122886681098,0.008747048783739471
2020-02-07,三门峡,82.71428571428571,82.57142857142857,9.142857142857142,1.0142857142857142,14.714285714285714,89.57142857142857,64.57142857142857,957.4285714285714,4.571428571428572,2.5,1.960128571428571,0.004392708000000001,1.0,0.6931471805599453,0.004383088219183795
2020-02-08,三门峡,80.57142857142857,79.57142857142857,8.0,1.0142857142857145,15.428571428571429,83.85714285714286,71.71428571428571,958.7142857142857,4.3571428571428585,1.7857142857142858,1.9258142857142853,1.734723475976807e-18,0.0,0.0,0.0
2020-02-09,三门峡,79.14285714285714,78.14285714285714,7.857142857142857,1.0285714285714287,17.0,83.57142857142857,73.0,959.8571428571429,3.900000000000001,1.7142857142857142,1.925085714285714,1.734723475976807e-18,0.0,0.0,0.0
2020-02-10,三门峡,78.42857142857143,78.42857142857143,7.428571428571429,1.0571428571428572,19.285714285714285,79.57142857142857,72.71428571428571,959.0,4.3571428571428585,2.2142857142857144,1.9601285714285712,1.734723475976807e-18,0.0,0.0,0.0
2020-02-11,三门峡,71.0,72.57142857142857,7.428571428571429,1.042857142857143,20.571428571428573,77.42857142857143,69.14285714285714,958.4285714285714,3.7428571428571438,2.9285714285714284,2.0055,1.734723475976807e-18,0.0,0.0,0.0
2020-02-12,三门峡,66.57142857142857,66.71428571428571,8.285714285714286,1.0000000000000002,20.857142857142858,82.0,68.57142857142857,957.2857142857143,2.6142857142857148,3.5,2.095957142857143,1.734723475976807e-18,0.0,0.0,0.0
2020-02-13,三门峡,70.71428571428571,71.14285714285714,9.428571428571429,1.042857142857143,21.285714285714285,89.14285714285714,65.0,955.1428571428571,2.2428571428571438,5.285714285714286,2.2277571428571425,1.734723475976807e-18,0.0,0.0,0.0
2020-02-14,三门峡,64.71428571428571,82.42857142857143,9.428571428571429,0.9857142857142857,20.428571428571427,92.14285714285714,62.857142857142854,952.7142857142857,2.4857142857142867,7.285714285714286,2.280271428571428,1.734723475976807e-18,0.0,0.0,0.0
2020-02-15,三门峡,52.57142857142857,75.0,9.285714285714286,0.8571428571428571,18.714285714285715,93.42857142857143,52.714285714285715,952.7142857142857,3.3142857142857154,7.357142857142857,2.2914999999999996,1.734723475976807e-18,0.0,0.0,0.0
2020-02-16,三门峡,43.285714285714285,68.28571428571429,8.857142857142858,0.7714285714285715,17.285714285714285,92.85714285714286,45.57142857142857,952.8571428571429,3.7714285714285722,6.571428571428571,2.310971428571428,1.734723475976807e-18,0.0,0.0,0.0
2020-02-17,三门峡,38.42857142857143,63.42857142857143,8.428571428571429,0.7142857142857143,17.142857142857142,95.14285714285714,44.42857142857143,954.1428571428571,3.3142857142857145,5.785714285714286,2.343514285714285,1.734723475976807e-18,0.0,0.0,0.0
2020-02-18,三门峡,36.142857142857146,61.0,8.0,0.6714285714285715,17.857142857142858,95.0,42.857142857142854,955.8571428571429,3.3142857142857145,5.142857142857143,2.388899999999999,1.734723475976807e-18,0.0,0.0,0.0
2020-02-19,三门峡,33.285714285714285,59.57142857142857,7.857142857142857,0.6571428571428571,20.428571428571427,95.71428571428571,40.0,956.7142857142857,3.528571428571429,4.857142857142857,2.4270285714285706,1.734723475976807e-18,0.0,0.0,0.0
2020-02-20,三门峡,31.0,60.285714285714285,7.714285714285714,0.6285714285714284,21.285714285714285,92.71428571428571,37.0,958.2857142857143,3.2857142857142856,4.428571428571429,2.448857142857142,1.734723475976807e-18,0.0,0.0,0.0
